pickup_zip,dropoff_zip,distance_miles
33101,72046,925.7
72046,33101,925.7
33101,64659,1226.7
64659,33101,1226.7
33101,97640,2564.0
97640,33101,2564.0
33101,92656,2307.1
92656,33101,2307.1
33101,47616,969.3
47616,33101,969.3
33101,27601,694.7
27601,33101,694.7
33101,97364,2760.0
97364,33101,2760.0
33101,64112,1238.7
64112,33101,1238.7
33101,32266,321.1
32266,33101,321.1
33101,44076,1085.9
44076,33101,1085.9
33101,66223,1233.4
66223,33101,1233.4
33101,56589,1702.8
56589,33101,1702.8
33101,91770,2329.4
91770,33101,2329.4
33101,28169,664.0
28169,33101,664.0
33101,25843,817.8
25843,33101,817.8
33101,51649,1361.8
51649,33101,1361.8
33101,99158,2498.0
99158,33101,2498.0
33101,55713,1647.0
55713,33101,1647.0
33101,20779,919.2
20779,33101,919.2
33101,44087,1073.2
44087,33101,1073.2
33101,04220,1393.1
04220,33101,1393.1
33101,92602,2307.6
92602,33101,2307.6
33101,44417,1079.2
44417,33101,1079.2
33101,12768,1152.4
12768,33101,1152.4
33101,63030,1051.9
63030,33101,1051.9
33101,05250,1259.3
05250,33101,1259.3
33101,87113,1695.0
87113,33101,1695.0
33101,41222,840.7
41222,33101,840.7
33101,32948,138.7
32948,33101,138.7
33101,71286,816.8
71286,33101,816.8
33101,67751,1487.9
67751,33101,1487.9
33101,04956,1427.4
04956,33101,1427.4
33101,04668,1508.6
04668,33101,1508.6
33101,29714,616.7
29714,33101,616.7
33101,70516,803.3
70516,33101,803.3
33101,28027,663.9
28027,33101,663.9
33101,81073,1545.1
81073,33101,1545.1
33101,46501,1119.4
46501,33101,1119.4
33101,70114,666.0
70114,33101,666.0
33101,11003,1094.0
11003,33101,1094.0
33101,68130,1404.9
68130,33101,1404.9
33101,59642,2195.6
59642,33101,2195.6
33101,80468,1784.1
80468,33101,1784.1
33101,43346,1041.1
43346,33101,1041.1
33101,41567,821.5
41567,33101,821.5
33101,50665,1360.2
50665,33101,1360.2
33101,20716,928.4
20716,33101,928.4
33101,25981,848.2
25981,33101,848.2
33101,78739,1121.7
78739,33101,1121.7
33101,61845,1111.3
61845,33101,1111.3
33101,86314,2006.5
86314,33101,2006.5
33101,28538,682.2
28538,33101,682.2
33101,68071,1464.0
68071,33101,1464.0
33101,45836,1053.5
45836,33101,1053.5
33101,11369,1094.8
11369,33101,1094.8
33101,97703,2626.2
97703,33101,2626.2
33101,01606,1235.8
01606,33101,1235.8
33101,50585,1452.5
50585,33101,1452.5
33101,04924,1438.5
04924,33101,1438.5
33101,63108,1062.7
63108,33101,1062.7
33101,13111,1221.8
13111,33101,1221.8
33101,49441,1248.1
49441,33101,1248.1
33101,67059,1376.8
67059,33101,1376.8
33101,14860,1174.3
14860,33101,1174.3
33101,31743,480.5
31743,33101,480.5
33101,16735,1095.3
16735,33101,1095.3
33101,90278,2345.1
90278,33101,2345.1
33101,50111,1344.1
50111,33101,1344.1
33101,27803,710.7
27803,33101,710.7
33101,71048,904.1
71048,33101,904.1
33101,62221,1044.0
62221,33101,1044.0
33101,55769,1656.1
55769,33101,1656.1
33101,25420,945.0
25420,33101,945.0
33101,92394,2290.5
92394,33101,2290.5
33101,48861,1198.6
48861,33101,1198.6
33101,70757,760.6
70757,33101,760.6
33101,74855,1197.2
74855,33101,1197.2
33101,77514,923.3
77514,33101,923.3
33101,51537,1392.6
51537,33101,1392.6
33101,76226,1138.9
76226,33101,1138.9
33101,49106,1170.9
49106,33101,1170.9
33101,31909,546.4
31909,33101,546.4
33101,29560,555.5
29560,33101,555.5
33101,22207,922.1
22207,33101,922.1
33101,52555,1255.0
52555,33101,1255.0
33101,53952,1349.3
53952,33101,1349.3
33433,60614,1155.0
60614,33433,1155.0
33433,75201,1094.0
75201,33433,1094.0
33433,90210,2335.6
90210,33433,2335.6
33433,90280,2322.3
90280,33433,2322.3
33433,26384,870.8
26384,33433,870.8
33433,71935,981.4
71935,33433,981.4
33433,44706,995.5
44706,33433,995.5
33433,32063,295.4
32063,33433,295.4
33433,60187,1161.9
60187,33433,1161.9
33433,83465,2251.8
83465,33433,2251.8
33433,32258,274.5
32258,33433,274.5
33433,53022,1247.2
53022,33433,1247.2
33433,58654,1912.8
58654,33433,1912.8
33433,47120,905.2
47120,33433,905.2
33433,68715,1463.6
68715,33433,1463.6
33433,36049,525.6
36049,33433,525.6
33433,52325,1245.8
52325,33433,1245.8
33433,72046,901.1
72046,33433,901.1
33433,64659,1196.3
64659,33433,1196.3
33433,97640,2542.1
97640,33433,2542.1
33433,92656,2294.7
92656,33433,2294.7
33433,47616,935.5
47616,33433,935.5
33433,27601,655.7
27601,33433,655.7
33433,97364,2736.8
97364,33433,2736.8
33433,64112,1210.2
64112,33433,1210.2
33433,32266,283.8
32266,33433,283.8
33433,44076,1047.0
44076,33433,1047.0
33433,66223,1205.2
66223,33433,1205.2
33433,56589,1668.9
56589,33433,1668.9
33433,91770,2316.5
91770,33433,2316.5
33433,28169,625.5
28169,33433,625.5
33433,25843,778.9
25843,33433,778.9
33433,51649,1332.1
51649,33433,1332.1
33433,99158,2471.8
99158,33433,2471.8
33433,55713,1611.6
55713,33433,1611.6
33433,20779,880.6
20779,33433,880.6
33433,44087,1034.4
44087,33433,1034.4
33433,04220,1355.8
04220,33433,1355.8
33433,92602,2295.0
92602,33433,2295.0
33433,44417,1040.2
44417,33433,1040.2
33433,12768,1114.0
12768,33433,1114.0
33433,63030,1020.9
63030,33433,1020.9
33433,05250,1221.2
05250,33433,1221.2
33433,87113,1678.7
87113,33433,1678.7
33433,41222,802.7
41222,33433,802.7
33433,32948,101.2
32948,33433,101.2
33433,71286,795.4
71286,33433,795.4
33433,67751,1463.3
67751,33433,1463.3
33433,04956,1390.1
04956,33433,1390.1
33433,04668,1472.0
04668,33433,1472.0
33433,29714,578.0
29714,33433,578.0
33433,70516,789.3
70516,33433,789.3
33433,28027,625.0
28027,33433,625.0
33433,81073,1524.0
81073,33433,1524.0
33433,46501,1082.8
46501,33433,1082.8
33433,70114,651.0
70114,33433,651.0
33433,11003,1056.3
11003,33433,1056.3
33433,68130,1375.3
68130,33433,1375.3
33433,59642,2168.4
59642,33433,2168.4
33433,80468,1761.4
80468,33433,1761.4
33433,43346,1003.3
43346,33433,1003.3
33433,41567,783.2
41567,33433,783.2
33433,50665,1327.2
50665,33433,1327.2
33433,20716,889.7
20716,33433,889.7
33433,25981,809.3
25981,33433,809.3
33433,78739,1111.5
78739,33433,1111.5
33433,61845,1076.5
